0.00, -0.697778,-0.683822,-0.669867,-0.655911,-0.641956,-0.628,-0.614045,-0.600089,-0.586133,-0.572178,-0.558222,-0.544267,-0.530311,-0.516356,-0.5024,-0.488445,-0.474489,-0.460534,-0.446578,-0.432622,-0.418667,-0.404711,-0.390756,-0.3768,-0.362845,-0.348889,-0.334934,-0.320978,-0.307022,-0.293067,-0.279111,-0.265156,-0.2512,-0.237245,-0.223289,-0.209333,-0.195378,-0.181422,-0.167467,-0.153511,-0.139556,-0.1256,-0.111645,-0.0976891,-0.0837335,-0.069778,-0.0558224,-0.0418669,-0.0279113,-0.0139558,-2.03028e-07,0.0139554,0.0279109,0.0418665,0.055822,0.0697776,0.0837331,0.0976887,0.111644,0.1256,0.139555,0.153511,0.167466,0.181422,0.195378,0.209333,0.223289,0.237244,0.2512,0.265155,0.279111,0.293066,0.307022,0.320978,0.334933,0.348889,0.362844,0.3768,0.390755,0.404711,0.418666,0.432622,0.446578,0.460533,0.474489,0.488444,0.5024,0.516355,0.530311,0.544266,0.558222,0.572178,0.586133,0.600089,0.614044,0.628,0.641955,0.655911,0.669866,0.683822,
-3, -99.9947,-99.9948,-99.9949,-99.995,-99.9951,-99.9952,-99.9953,-99.9954,-99.9955,-99.9956,-99.9957,-99.9958,-99.9959,-99.996,-99.996,-99.9393,-98.8271,-97.7393,-96.675,-95.6337,-94.6144,-93.6165,-92.6394,-91.6824,-90.7449,-89.8263,-88.926,-88.0436,-87.1784,-86.33,-85.4979,-84.6816,-83.8808,-83.0949,-82.3235,-81.5663,-80.8228,-80.0928,-79.3758,-78.6714,-77.9795,-77.2996,-76.6314,-75.9746,-75.329,-74.6943,-74.0701,-73.4563,-72.8525,-72.2586,-71.6743,-71.0992,-70.5333,-69.9763,-69.428,-68.8883,-68.3569,-67.8336,-67.3184,-66.8108,-65.9496,-64.9284,-63.8915,-62.8386,-61.7693,-60.6833,-59.5802,-58.4595,-57.3209,-56.1638,-54.9879,-53.7927,-52.5778,-51.3425,-50.0864,-48.8091,-47.5099,-46.1882,-44.8436,-43.4754,-42.0829,-40.6656,-39.2227,-37.7536,-36.2575,-34.7337,-33.1814,-31.5999,-29.9882,-28.3456,-26.6711,-24.9637,-23.2226,-21.4467,-19.6349,-17.7861,-15.8993,-13.9732,-12.0066,-9.99817,
-2.94, -99.9949,-99.995,-99.9951,-99.9952,-99.9953,-99.9954,-99.9955,-99.9956,-99.9956,-99.9957,-99.9958,-99.9959,-99.996,-99.9961,-99.8566,-98.7463,-97.6604,-96.5979,-95.5583,-94.5406,-93.5444,-92.5688,-91.6133,-90.6773,-89.7601,-88.8612,-87.9801,-87.1162,-86.269,-85.4381,-84.6231,-83.8233,-83.0385,-82.2682,-81.512,-80.7696,-80.0405,-79.3245,-78.6211,-77.93,-77.251,-76.5836,-75.9277,-75.2829,-74.6489,-74.0255,-73.4124,-72.8094,-72.2162,-71.6326,-71.0583,-70.493,-69.9366,-69.389,-68.8498,-68.319,-67.7963,-67.2816,-66.7746,-65.8763,-64.8539,-63.8158,-62.7617,-61.6912,-60.6039,-59.4994,-58.3774,-57.2373,-56.0788,-54.9015,-53.7047,-52.4882,-51.2513,-49.9936,-48.7146,-47.4136,-46.0902,-44.7437,-43.3736,-41.9792,-40.5598,-39.1149,-37.6436,-36.1454,-34.6193,-33.0647,-31.4808,-29.8667,-28.2215,-26.5444,-24.8343,-23.0904,-21.3116,-19.4969,-17.6451,-15.7551,-13.8257,-11.8558,-9.84386,-7.78869,
-2.88, -99.9951,-99.9952,-99.9953,-99.9954,-99.9955,-99.9956,-99.9957,-99.9957,-99.9958,-99.9959,-99.996,-99.9961,-99.9962,-99.774,-98.6656,-97.5815,-96.5209,-95.4829,-94.467,-93.4723,-92.4983,-91.5443,-90.6097,-89.694,-88.7964,-87.9166,-87.054,-86.2081,-85.3784,-84.5645,-83.7659,-82.9822,-82.213,-81.4579,-80.7164,-79.9883,-79.2732,-78.5707,-77.8806,-77.2024,-76.5359,-75.8808,-75.2368,-74.6036,-73.9809,-73.3686,-72.7663,-72.1738,-71.5908,-71.0172,-70.4527,-69.897,-69.3499,-68.8114,-68.2812,-67.7591,-67.2449,-66.7384,-65.803,-64.7794,-63.7401,-62.6848,-61.613,-60.5244,-59.4186,-58.2952,-57.1537,-55.9938,-54.815,-53.6167,-52.3986,-51.1601,-49.9008,-48.62,-47.3174,-45.9921,-44.6438,-43.2718,-41.8754,-40.4541,-39.0071,-37.5337,-36.0333,-34.505,-32.9481,-31.3617,-29.7452,-28.0974,-26.4177,-24.7049,-22.9582,-21.1766,-19.3589,-17.504,-15.6109,-13.6783,-11.7049,-9.68954,-7.63077,-5.52721,
-2.82, -99.9953,-99.9954,-99.9955,-99.9956,-99.9957,-99.9958,-99.9958,-99.9959,-99.996,-99.9961,-99.9962,-99.9962,-99.6915,-98.585,-97.5027,-96.4438,-95.4076,-94.3933,-93.4003,-92.4278,-91.4754,-90.5422,-89.6279,-88.7317,-87.8532,-86.9919,-86.1473,-85.3188,-84.506,-83.7086,-82.926,-82.1578,-81.4037,-80.6633,-79.9362,-79.222,-78.5205,-77.8312,-77.1539,-76.4883,-75.834,-75.1908,-74.5583,-73.9365,-73.3249,-72.7233,-72.1314,-71.5492,-70.9762,-70.4124,-69.8574,-69.311,-68.773,-68.2434,-67.7218,-67.2082,-66.7023,-65.7296,-64.7048,-63.6644,-62.6078,-61.5348,-60.4449,-59.3378,-58.213,-57.0701,-55.9088,-54.7285,-53.5287,-52.309,-51.069,-49.808,-48.5255,-47.2211,-45.8941,-44.5439,-43.17,-41.7717,-40.3484,-38.8993,-37.4238,-35.9212,-34.3906,-32.8314,-31.2427,-29.6236,-27.9734,-26.291,-24.5756,-22.8261,-21.0415,-19.2208,-17.3629,-15.4666,-13.5308,-11.554,-9.5352,-7.47283,-5.36556,-3.21188,
-2.76, -99.9955,-99.9956,-99.9957,-99.9958,-99.9959,-99.9959,-99.996,-99.9961,-99.9962,-99.9962,-99.9963,-99.6089,-98.5044,-97.4239,-96.3668,-95.3324,-94.3197,-93.3283,-92.3574,-91.4064,-90.4748,-89.5618,-88.6671,-87.7899,-86.9299,-86.0864,-85.2592,-84.4476,-83.6513,-82.8698,-82.1027,-81.3496,-80.6102,-79.8841,-79.1709,-78.4702,-77.7819,-77.1054,-76.4406,-75.7872,-75.1448,-74.5131,-73.892,-73.2812,-72.6803,-72.0892,-71.5076,-70.9353,-70.3721,-69.8177,-69.272,-68.7347,-68.2056,-67.6847,-67.1716,-66.6662,-65.6562,-64.6303,-63.5886,-62.5308,-61.4565,-60.3653,-59.2569,-58.1308,-56.9865,-55.8237,-54.6419,-53.4407,-52.2194,-50.9778,-49.7151,-48.431,-47.1248,-45.796,-44.444,-43.0682,-41.668,-40.2426,-38.7915,-37.3139,-35.809,-34.2762,-32.7147,-31.1236,-29.5021,-27.8493,-26.1643,-24.4462,-22.6939,-20.9065,-19.0828,-17.2219,-15.3224,-13.3833,-11.4032,-9.38085,-7.31488,-5.20387,-3.04634,-0.840722,
-2.7, -99.9957,-99.9958,-99.9959,-99.996,-99.996,-99.9961,-99.9962,-99.9962,-99.9963,-99.9964,-99.5265,-98.4238,-97.3452,-96.2899,-95.2571,-94.2462,-93.2563,-92.287,-91.3376,-90.4074,-89.4958,-88.6024,-87.7266,-86.8678,-86.0257,-85.1996,-84.3892,-83.594,-82.8136,-82.0476,-81.2956,-80.5572,-79.832,-79.1198,-78.4201,-77.7326,-77.057,-76.3931,-75.7405,-75.0988,-74.468,-73.8476,-73.2375,-72.6374,-72.0469,-71.466,-70.8944,-70.3318,-69.7781,-69.2331,-68.6964,-68.1679,-67.6475,-67.135,-66.5943,-65.5827,-64.5556,-63.5128,-62.4538,-61.3782,-60.2858,-59.176,-58.0485,-56.9029,-55.7386,-54.5554,-53.3526,-52.1298,-50.8865,-49.6223,-48.3365,-47.0285,-45.698,-44.3441,-42.9664,-41.5642,-40.1369,-38.6837,-37.2039,-35.6969,-34.1619,-32.598,-31.0045,-29.3806,-27.7252,-26.0376,-24.3168,-22.5617,-20.7714,-18.9448,-17.0808,-15.1782,-13.2358,-11.2523,-9.22648,-7.15692,-5.04218,-2.8808,-0.671185,1.57923,
-2.64, -99.9959,-99.996,-99.9961,-99.9961,-99.9962,-99.9963,-99.9963,-99.9964,-99.9965,-99.444,-98.3433,-97.2665,-96.213,-95.1819,-94.1727,-93.1844,-92.2167,-91.2687,-90.34,-89.4299,-88.5378,-87.6633,-86.8059,-85.9649,-85.1401,-84.3309,-83.5368,-82.7575,-81.9926,-81.2416,-80.5042,-79.78,-79.0687,-78.3699,-77.6834,-77.0087,-76.3456,-75.6938,-75.053,-74.4229,-73.8033,-73.1939,-72.5945,-72.0048,-71.4245,-70.8536,-70.2917,-69.7386,-69.1941,-68.6581,-68.1303,-67.6105,-67.0985,-66.5219,-65.5092,-64.481,-63.4369,-62.3767,-61.2999,-60.2062,-59.0951,-57.9662,-56.8192,-55.6535,-54.4688,-53.2645,-52.0402,-50.7953,-49.5294,-48.2419,-46.9322,-45.5999,-44.2442,-42.8646,-41.4605,-40.0311,-38.5759,-37.094,-35.5848,-34.0475,-32.4813,-30.8855,-29.259,-27.6012,-25.9109,-24.1874,-22.4296,-20.6364,-18.8068,-16.9397,-15.034,-13.0883,-11.1014,-9.07212,-6.99895,-4.88049,-2.71524,-0.501641,1.74629,3.93244,
-2.58, -99.9961,-99.9962,-99.9962,-99.9963,-99.9964,-99.9964,-99.9965,-99.9966,-99.3616,-98.2627,-97.1878,-96.1361,-95.1068,-94.0991,-93.1126,-92.1464,-91.1999,-90.2726,-89.3639,-88.4733,-87.6001,-86.7439,-85.9042,-85.0806,-84.2725,-83.4796,-82.7014,-81.9376,-81.1876,-80.4512,-79.7281,-79.0177,-78.3198,-77.6342,-76.9604,-76.2981,-75.6471,-75.0071,-74.3779,-73.759,-73.1504,-72.5517,-71.9626,-71.3831,-70.8128,-70.2515,-69.6991,-69.1552,-68.6198,-68.0926,-67.5734,-67.062,-66.4495,-65.4356,-64.4062,-63.361,-62.2996,-61.2215,-60.1265,-59.0141,-57.8839,-56.7355,-55.5684,-54.3822,-53.1764,-51.9505,-50.7041,-49.4365,-48.1473,-46.8359,-45.5018,-44.1443,-42.7628,-41.3567,-39.9254,-38.4681,-36.9841,-35.4727,-33.9332,-32.3647,-30.7664,-29.1375,-27.4771,-25.7843,-24.058,-22.2974,-20.5013,-18.6688,-16.7987,-14.8897,-12.9408,-10.9505,-8.91775,-6.84097,-4.71878,-2.54966,-0.332065,1.91283,4.09558,6.23051,
-2.52, -99.9963,-99.9963,-99.9964,-99.9965,-99.9965,-99.9966,-99.9967,-99.2792,-98.1823,-97.1092,-96.0592,-95.0316,-94.0257,-93.0407,-92.0761,-91.1311,-90.2053,-89.298,-88.4087,-87.5369,-86.682,-85.8436,-85.0211,-84.2143,-83.4225,-82.6454,-81.8826,-81.1337,-80.3983,-79.6761,-78.9667,-78.2698,-77.585,-76.9121,-76.2507,-75.6005,-74.9613,-74.3328,-73.7148,-73.1068,-72.5089,-71.9206,-71.3417,-70.7721,-70.2115,-69.6596,-69.1164,-68.5816,-68.0549,-67.5363,-67.0256,-66.377,-65.362,-64.3315,-63.2851,-62.2224,-61.1431,-60.0468,-58.9331,-57.8015,-56.6517,-55.4832,-54.2955,-53.0882,-51.8608,-50.6128,-49.3436,-48.0527,-46.7396,-45.4037,-44.0444,-42.661,-41.253,-39.8196,-38.3602,-36.8741,-35.3606,-33.8188,-32.248,-30.6473,-29.016,-27.353,-25.6576,-23.9286,-22.1652,-20.3663,-18.5308,-16.6576,-14.7455,-12.7933,-10.7997,-8.76336,-6.68297,-4.55704,-2.38406,-0.162453,2.07884,4.25819,6.38983,8.47533,
